CompoundName,SeverityClass,LabelSection,vDILI-Concern
Benazepril hydrochloride,4,Adverse reactions,vLess-DILI-concern
Bendamustine hydrochloride,0,No match,vNo-DILI-concern
Bendazac,8,Withdrawn,vMost-DILI-concern
Bendroflumethiazide,5,Adverse reactions,vLess-DILI-concern
Benoxaprofen,8,Withdrawn,vMost-DILI-concern
Benzarone,8,Withdrawn,vMost-DILI-concern
Benzbromarone,8,Withdrawn,vMost-DILI-concern
Benziodarone,8,Withdrawn,vMost-DILI-concern
Benznidazole,2,Adverse reactions,Ambiguous-DILI-concern
Benzonatate,0,No match,vLess-DILI-concern
Benzphetamine hydrochloride,0,No match,vNo-DILI-concern
Benztropine mesylate,0,No match,vNo-DILI-concern
Benzylpenicilloyl polylysine,0,No match,vNo-DILI-concern
Berotralstat hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Betaine,0,No match,vNo-DILI-concern
Betaxolol hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Bethanechol chloride,0,No match,vNo-DILI-concern
Betrixaban,0,No match,vNo-DILI-concern
Bevacizumab,0,No match,vNo-DILI-concern
Bexarotene,8,Warnings & precautions,vMost-DILI-concern
Bicalutamide,8,Warnings & precautions,vMost-DILI-concern
Binimetinib,3,Warnings & precautions,Ambiguous-DILI-concern
Biperiden hydrochloride,0,No match,vNo-DILI-concern
Bisacodyl,0,No match,vNo-DILI-concern
Bisoprolol fumarate,3,Adverse reactions,Ambiguous-DILI-concern
Bivalirudin,0,No match,vNo-DILI-concern
Bleomycin sulfate,3,Warnings & precautions,Ambiguous-DILI-concern
Bortezomib,7,Warnings & precautions,vMost-DILI-concern
Bosentan,7,Box warning,vMost-DILI-concern
Bosutinib monohydrate,4,Warnings & precautions,vMost-DILI-concern
Botulinum toxin type a,0,No match,vNo-DILI-concern
Botulinum toxin type b,0,No match,vNo-DILI-concern
Bremelanotide acetate,4,Adverse reactions,Ambiguous-DILI-concern
Brexanolone,0,No match,vNo-DILI-concern
Brexpiprazole,0,No match,vNo-DILI-concern
Brigatinib,3,Adverse reactions,Ambiguous-DILI-concern
Brilliant blue g,0,No match,vNo-DILI-concern
Brivaracetam,0,No match,vNo-DILI-concern
Bromfenac sodium,8,Withdrawn,vMost-DILI-concern
Bromocriptine mesylate,3,Warnings & precautions,vLess-DILI-concern
Brompheniramine maleate,0,No match,vNo-DILI-concern
Budesonide,0,No match,vNo-DILI-concern
Bumetanide,3,Warnings & precautions,Ambiguous-DILI-concern
Bupropion hydrochloride,5,Adverse reactions,vLess-DILI-concern
Buspirone hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Busulfan,8,Warnings & precautions,vMost-DILI-concern
Butabarbital sodium,3,Adverse reactions,Ambiguous-DILI-concern
Butorphanol tartrate,0,No match,vNo-DILI-concern
Cabazitaxel,4,Adverse reactions,Ambiguous-DILI-concern
Cabergoline,0,No match,vNo-DILI-concern
Cabotegravir sodium,3,Warnings & precautions,Ambiguous-DILI-concern
Cabozantinib s-malate,4,Adverse reactions,Ambiguous-DILI-concern
Caffeine citrate,0,No match,vNo-DILI-concern
Calcitonin salmon,0,No match,vNo-DILI-concern
Calcitriol,0,No match,vNo-DILI-concern
Calcium acetate,0,No match,vNo-DILI-concern
Canagliflozin,0,No match,vLess-DILI-concern
Canakinumab,3,Adverse reactions,vLess-DILI-concern
Candesartan cilexetil,3,Adverse reactions,vLess-DILI-concern
Cangrelor,0,No match,vNo-DILI-concern
Cannabidiol,3,Warnings & precautions,Ambiguous-DILI-concern
Capecitabine,2,Warnings & precautions,vLess-DILI-concern
Capmatinib hydrochloride,3,Warnings & precautions,vLess-DILI-concern
Capreomycin sulfate,3,Adverse reactions,Ambiguous-DILI-concern
Captopril,7,Adverse reactions,vLess-DILI-concern
Carbamazepine,7,Warnings & precautions,vMost-DILI-concern
Carbenicillin disodium,3,Warnings & precautions,vLess-DILI-concern
Carbidopa,3,Warnings & precautions,Ambiguous-DILI-concern
Carbinoxamine maleate,0,No match,vNo-DILI-concern
Carboplatin,3,Warnings & precautions,vLess-DILI-concern
Carboprost tromethamine,0,No match,vNo-DILI-concern
Carfilzomib,8,Warnings & precautions,vMost-DILI-concern
Carglumic acid,0,No match,vNo-DILI-concern
Cariprazine hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Carisoprodol,0,No match,vNo-DILI-concern
Carvedilol,3,Adverse reactions,vLess-DILI-concern
Casimersen,0,No match,vNo-DILI-concern
Caspofungin acetate,7,Warnings & precautions,Ambiguous-DILI-concern
Cefaclor,3,Adverse reactions,vLess-DILI-concern
Cefadroxil hemihydrate,7,Adverse reactions,vLess-DILI-concern
Cefazolin sodium,3,Adverse reactions,vLess-DILI-concern
Cefdinir,7,Adverse reactions,vLess-DILI-concern
Cefditoren pivoxil,2,Adverse reactions,vLess-DILI-concern
Cefepime hydrochloride,3,Adverse reactions,vLess-DILI-concern
Cefiderocol sulfate tosylate,2,Adverse reactions,Ambiguous-DILI-concern
Cefixime,4,Adverse reactions,vLess-DILI-concern
Cefoperazone sodium,3,Adverse reactions,vLess-DILI-concern
Cefotaxime sodium,5,Adverse reactions,vLess-DILI-concern
Cefotetan disodium,3,Adverse reactions,Ambiguous-DILI-concern
Cefoxitin sodium,3,Warnings & precautions,Ambiguous-DILI-concern
Cefpodoxime proxetil,3,Adverse reactions,Ambiguous-DILI-concern
Cefprozil,4,Adverse reactions,vLess-DILI-concern
Ceftaroline fosamil,3,Adverse reactions,vLess-DILI-concern
Ceftazidime,3,Adverse reactions,vLess-DILI-concern
Ceftibuten dihydrate,3,Adverse reactions,Ambiguous-DILI-concern
Ceftizoxime sodium,4,Adverse reactions,Ambiguous-DILI-concern
Ceftriaxone sodium,4,Adverse reactions,vLess-DILI-concern
Cefuroxime sodium,5,Adverse reactions,vLess-DILI-concern
Celecoxib,3,Warnings & precautions,vLess-DILI-concern
Cenobamate,3,Adverse reactions,Ambiguous-DILI-concern
Cephalexin,4,Adverse reactions,vLess-DILI-concern
Cephradine,4,Adverse reactions,Ambiguous-DILI-concern
Ceritinib,4,Warnings & precautions,vMost-DILI-concern
Certolizumab pegol,4,Adverse reactions,vLess-DILI-concern
Cetirizine hydrochloride,3,Adverse reactions,vLess-DILI-concern
Cetrorelix acetate,3,Warnings & precautions,Ambiguous-DILI-concern
Cetuximab,0,No match,vNo-DILI-concern
Cevimeline hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Chenodiol,8,Warnings & precautions,Ambiguous-DILI-concern
Chlorambucil,3,Warnings & precautions,vLess-DILI-concern
Chloramphenicol,0,No match,vNo-DILI-concern
Chlorcyclizine hydrochloride,0,No match,vLess-DILI-concern
Chlordiazepoxide hydrochloride,5,Adverse reactions,vLess-DILI-concern
Chlormezanone,8,Withdrawn,vMost-DILI-concern
Chloroquine phosphate,3,Adverse reactions,vLess-DILI-concern
Chlorothiazide,2,Adverse reactions,vLess-DILI-concern
Chlorpheniramine maleate,0,No match,vNo-DILI-concern
Chlorpromazine hydrochloride,2,Adverse reactions,vLess-DILI-concern
Chlorpropamide,2,Adverse reactions,vLess-DILI-concern
Chlorthalidone,2,Adverse reactions,Ambiguous-DILI-concern
Chlorzoxazone,8,Warnings & precautions,vMost-DILI-concern
Cholestyramine,3,Adverse reactions,Ambiguous-DILI-concern
Cholic acid,3,Warnings & precautions,Ambiguous-DILI-concern
Choline c-11,0,No match,vNo-DILI-concern
Choriogonadotropin alfa,3,Warnings & precautions,Ambiguous-DILI-concern
Cidofovir,5,Adverse reactions,Ambiguous-DILI-concern
Cilostazol,5,Adverse reactions,Ambiguous-DILI-concern
Cimetidine,2,Adverse reactions,vLess-DILI-concern
Cinacalcet hydrochloride,0,No match,vNo-DILI-concern
Cinchophen,8,Withdrawn,vMost-DILI-concern
Ciprofloxacin hydrochloride,7,Warnings & precautions,vMost-DILI-concern
Cisatracurium besylate,0,No match,vNo-DILI-concern
Cisplatin,3,Warnings & precautions,vLess-DILI-concern
Citalopram hydrobromide,7,Adverse reactions,vLess-DILI-concern
Cladribine,3,Warnings & precautions,vLess-DILI-concern
Clarithromycin,8,Warnings & precautions,vMost-DILI-concern
Clemastine fumarate,0,No match,vNo-DILI-concern
Clevidipine,0,No match,vNo-DILI-concern
Clindamycin hydrochloride,3,Warnings & precautions,vLess-DILI-concern
Clindamycin phosphate,3,Warnings & precautions,vLess-DILI-concern
Clobazam,3,Adverse reactions,Ambiguous-DILI-concern
Clofarabine,8,Warnings & precautions,Ambiguous-DILI-concern
Clofibrate,3,Warnings & precautions,vLess-DILI-concern
Clomacran,8,Withdrawn,vMost-DILI-concern
Clometacin,8,Withdrawn,vMost-DILI-concern
Clomiphene citrate,3,Warnings & precautions,vLess-DILI-concern
Clomipramine hydrochloride,8,Warnings & precautions,vMost-DILI-concern
Clonazepam,3,Adverse reactions,vLess-DILI-concern
Clonidine hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Clopidogrel bisulfate,7,Adverse reactions,vLess-DILI-concern
Clorazepate dipotassium,3,Warnings & precautions,Ambiguous-DILI-concern
Clotrimazole,3,Warnings & precautions,vLess-DILI-concern
Cloxacillin sodium,3,Warnings & precautions,vLess-DILI-concern
Clozapine,5,Warnings & precautions,vMost-DILI-concern
Cobicistat,5,Adverse reactions,Ambiguous-DILI-concern
Cobimetinib fumarate,4,Warnings & precautions,Ambiguous-DILI-concern
Codeine sulfate,0,No match,vNo-DILI-concern
Colchicine,6,Adverse reactions,Ambiguous-DILI-concern
Colesevelam hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Colestipol hydrochloride,3,Adverse reactions,vLess-DILI-concern
Colistimethate sodium,0,No match,vNo-DILI-concern
Conivaptan hydrochloride,0,No match,vNo-DILI-concern
Copanlisib dihydrochloride,0,No match,vNo-DILI-concern
Copper cu-64 dotatate,0,No match,vNo-DILI-concern
Corticorelin ovine triflutate,0,No match,vNo-DILI-concern
Corticotropin,0,No match,vNo-DILI-concern
Cortisone acetate,0,No match,vNo-DILI-concern
Cosyntropin,0,No match,vNo-DILI-concern
Crizotinib,8,Warnings & precautions,vMost-DILI-concern
Crofelemer,4,Adverse reactions,Ambiguous-DILI-concern
Cromoglicate,3,Adverse reactions,vLess-DILI-concern
Cupric chloride,0,No match,vNo-DILI-concern
Cyanocobalamin,0,No match,vNo-DILI-concern
Cyclobenzaprine hydrochloride,5,Adverse reactions,vLess-DILI-concern
Cyclofenil,8,Withdrawn,vMost-DILI-concern
Cyclophosphamide,5,Adverse reactions,vLess-DILI-concern
Cycloserine,3,Warnings & precautions,Ambiguous-DILI-concern
Cyclosporine,7,Warnings & precautions,vMost-DILI-concern
Cyproheptadine hydrochloride,7,Adverse reactions,vLess-DILI-concern
Cysteamine bitartrate,3,Adverse reactions,Ambiguous-DILI-concern
Cytarabine,3,Box warning,vMost-DILI-concern
Dabigatran etexilate mesylate,0,No match,vLess-DILI-concern
Dabrafenib mesylate,3,Adverse reactions,Ambiguous-DILI-concern
Dacarbazine,6,Box warning,vMost-DILI-concern
Dacomitinib,4,Adverse reactions,vLess-DILI-concern
Dactinomycin,8,Warnings & precautions,vMost-DILI-concern
Dalbavancin hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Dalfampridine,0,No match,vNo-DILI-concern
Dalteparin sodium,3,Adverse reactions,vLess-DILI-concern
Danazol,8,Box warning,vMost-DILI-concern
Dantrolene sodium,8,Box warning,vMost-DILI-concern
Dapagliflozin,0,No match,vNo-DILI-concern
Dapsone,3,Warnings & precautions,vLess-DILI-concern
Daptomycin,5,Adverse reactions,vLess-DILI-concern
Darbepoetin alfa,0,No match,vLess-DILI-concern
Darifenacin hydrobromide,0,No match,vNo-DILI-concern
Darolutamide,4,Adverse reactions,Ambiguous-DILI-concern
Darunavir,8,Warnings & precautions,vMost-DILI-concern
Dasatinib,4,Adverse reactions,vLess-DILI-concern
Dasiglucagon hydrochloride,0,No match,vNo-DILI-concern
Daunorubicin hydrochloride,0,No match,vNo-DILI-concern
Decitabine,4,Adverse reactions,Ambiguous-DILI-concern
Deferasirox,7,Box warning,vMost-DILI-concern
Deferiprone,3,Warnings & precautions,Ambiguous-DILI-concern
Deferoxamine mesylate,0,No match,vLess-DILI-concern
Defibrotide sodium,0,No match,vNo-DILI-concern
Deflazacort,0,No match,vNo-DILI-concern
Degarelix acetate,3,Adverse reactions,Ambiguous-DILI-concern
Delafloxacin meglumine,3,Adverse reactions,Ambiguous-DILI-concern
Delavirdine mesylate,5,Adverse reactions,Ambiguous-DILI-concern
Demeclocycline hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Denileukin diftitox,3,Adverse reactions,Ambiguous-DILI-concern
Deoxycholic acid,0,No match,vNo-DILI-concern
Dermatan,8,Discontinued,vMost-DILI-concern
Desipramine hydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Desloratadine,3,Adverse reactions,vLess-DILI-concern
Desmopressin acetate,3,Adverse reactions,Ambiguous-DILI-concern
Desvenlafaxine succinate,3,Adverse reactions,vLess-DILI-concern
Deutetrabenazine,0,No match,vNo-DILI-concern
Dexamethasone,3,Adverse reactions,Ambiguous-DILI-concern
Dexbrompheniramine maleate,0,No match,vNo-DILI-concern
Dexchlorpheniramine maleate,0,No match,vNo-DILI-concern
Dexlansoprazole,4,Adverse reactions,vLess-DILI-concern
Dexmedetomidine hydrochloride,4,Adverse reactions,Ambiguous-DILI-concern
Dexmethylphenidate hydrochloride,7,Adverse reactions,vLess-DILI-concern
Dexpanthenol,0,No match,vNo-DILI-concern
Dexrazoxane hydrochloride,4,Adverse reactions,Ambiguous-DILI-concern
Dextroamphetamine sulfate,0,No match,vNo-DILI-concern
Dextromethorphan polistirex,0,No match,vNo-DILI-concern
Dextrose,0,No match,vNo-DILI-concern
Diatrizoate sodium,0,No match,vNo-DILI-concern
Diazepam,4,Adverse reactions,vLess-DILI-concern
Diazoxide,3,Warnings & precautions,Ambiguous-DILI-concern
Dichlorphenamide,0,No match,vNo-DILI-concern
Diclofenac sodium,8,Warnings & precautions,vMost-DILI-concern
Dicloxacillin sodium,3,Warnings & precautions,vLess-DILI-concern
Dicyclomine hydrochloride,0,No match,vNo-DILI-concern
Didanosine,8,Warnings & precautions,vMost-DILI-concern
Diethylpropion hydrochloride,0,No match,vNo-DILI-concern
Difelikefalin acetate,0,No match,vNo-DILI-concern
Diflunisal,8,Warnings & precautions,vMost-DILI-concern
Digoxin,0,No match,vNo-DILI-concern
Dihydroergotamine mesylate,0,No match,vNo-DILI-concern
Diltiazem hydrochloride,4,Warnings & precautions,vMost-DILI-concern
Dimenhydrinate,0,No match,vNo-DILI-concern
Dimercaprol,0,No match,vNo-DILI-concern
Dimethyl fumarate,4,Warnings & precautions,vMost-DILI-concern
Diphenhydramine hydrochloride,0,No match,vNo-DILI-concern
Diphenoxylate,0,No match,vNo-DILI-concern
Dipyridamole,3,Warnings & precautions,Ambiguous-DILI-concern
Diroximel fumarate,4,Warnings & precautions,Ambiguous-DILI-concern
Disopyramide phosphate,2,Adverse reactions,vLess-DILI-concern
Disulfiram,8,Warnings & precautions,vMost-DILI-concern
Divalproex sodium,8,Box warning,vMost-DILI-concern
Dobutamine hydrochloride,0,No match,vNo-DILI-concern
Docetaxel,3,Warnings & precautions,vLess-DILI-concern
Dofetilide,0,No match,vLess-DILI-concern
Dolasetron mesylate,3,Adverse reactions,Ambiguous-DILI-concern
Dolutegravir sodium,8,Warnings & precautions,vMost-DILI-concern
Donepezil hydrochloride,3,Adverse reactions,vLess-DILI-concern
Dopamine hydrochloride,0,No match,vNo-DILI-concern
Doravirine,4,Adverse reactions,Ambiguous-DILI-concern
Doripenem,3,Adverse reactions,Ambiguous-DILI-concern
Doxapram hydrochloride,0,No match,vNo-DILI-concern
Doxazosin mesylate,3,Adverse reactions,vLess-DILI-concern
Doxepin hydrochloride,4,Adverse reactions,vLess-DILI-concern
Doxercalciferol,3,Adverse reactions,Ambiguous-DILI-concern
Doxorubicin hydrochloride,3,Adverse reactions,vLess-DILI-concern
Doxycycline,3,Adverse reactions,vLess-DILI-concern
Doxylamine succinate,0,No match,vNo-DILI-concern
Dronabinol,3,Adverse reactions,Ambiguous-DILI-concern
Dronedarone hydrochloride,7,Warnings & precautions,vMost-DILI-concern
Droperidol,0,No match,vNo-DILI-concern
Droxicam,8,Withdrawn,vMost-DILI-concern
Droxidopa,0,No match,vNo-DILI-concern
Duloxetine hydrochloride,8,Warnings & precautions,vMost-DILI-concern
Dutasteride,0,No match,vNo-DILI-concern
Duvelisib,4,Warnings & precautions,Ambiguous-DILI-concern
Dyphylline,0,No match,vNo-DILI-concern
Ebrotidine,8,Withdrawn,vMost-DILI-concern
Ecallantide,0,No match,vNo-DILI-concern
Eculizumab,0,No match,vLess-DILI-concern
Edaravone,0,No match,vNo-DILI-concern
Edetate calcium disodium,3,Warnings & precautions,Ambiguous-DILI-concern
Edoxaban tosylate,3,Adverse reactions,Ambiguous-DILI-concern
Edrophonium chloride,0,No match,vNo-DILI-concern
Efavirenz,7,Warnings & precautions,vMost-DILI-concern
Elagolix sodium,3,Warnings & precautions,Ambiguous-DILI-concern
Eletriptan hydrobromide,3,Adverse reactions,Ambiguous-DILI-concern
Eliglustat tartrate,0,No match,vNo-DILI-concern
Eltrombopag olamine,4,Box warning,vMost-DILI-concern
Eluxadoline,3,Adverse reactions,Ambiguous-DILI-concern
Empagliflozin,0,No match,vNo-DILI-concern
Emtricitabine,2,Warnings & precautions,Ambiguous-DILI-concern
Enalapril maleate,7,Adverse reactions,vLess-DILI-concern
Enalaprilat,7,Adverse reactions,Ambiguous-DILI-concern
Enasidenib mesylate,4,Adverse reactions,Ambiguous-DILI-concern
Encorafenib,3,Adverse reactions,Ambiguous-DILI-concern
Enfuvirtide,3,Warnings & precautions,Ambiguous-DILI-concern
Enoxaparin sodium,3,Adverse reactions,vLess-DILI-concern
Entacapone,0,No match,vLess-DILI-concern
Entecavir,7,Warnings & precautions,Ambiguous-DILI-concern
Entrectinib,3,Warnings & precautions,Ambiguous-DILI-concern
Enzalutamide,0,No match,vNo-DILI-concern
Ephedrine sulfate,0,No match,vNo-DILI-concern
Epinephrine,0,No match,vNo-DILI-concern
Epirubicin hydrochloride,3,Warnings & precautions,Ambiguous-DILI-concern
Eplerenone,4,Adverse reactions,vLess-DILI-concern
Epoetin alfa,0,No match,vNo-DILI-concern
Epoprostenol sodium,7,Adverse reactions,Ambiguous-DILI-concern
Eprosartan mesylate,3,Adverse reactions,Ambiguous-DILI-concern
Eptifibatide,0,No match,vNo-DILI-concern
Eravacycline dihydrochloride,3,Adverse reactions,Ambiguous-DILI-concern
Erdafitinib,3,Adverse reactions,Ambiguous-DILI-concern
Ergocalciferol,0,No match,vNo-DILI-concern
Eribulin mesylate,4,Adverse reactions,Ambiguous-DILI-concern
Erlotinib hydrochloride,8,Warnings & precautions,vMost-DILI-concern
Ertapenem sodium,3,Warnings & precautions,Ambiguous-DILI-concern
Ertugliflozin,0,No match,vNo-DILI-concern
Erythromycin estolate,5,Warnings & precautions,vMost-DILI-concern
Erythropoietin,0,No match,vNo-DILI-concern
Escitalopram oxalate,7,Adverse reactions,vLess-DILI-concern
Eslicarbazepine acetate,3,Warnings & precautions,Ambiguous-DILI-concern
Esmolol hydrochloride,0,No match,vNo-DILI-concern
Esomeprazole sodium,4,Adverse reactions,vLess-DILI-concern
Estazolam,0,No match,vNo-DILI-concern
Estradiol valerate,2,Adverse reactions,vLess-DILI-concern
Estramustine phosphate sodium,4,Warnings & precautions,vMost-DILI-concern
"Estrogens, conjugated",1,Adverse reactions,Ambiguous-DILI-concern
Estrone,2,Warnings & precautions,Ambiguous-DILI-concern
Estropipate,2,Adverse reactions,Ambiguous-DILI-concern
Eszopiclone,3,Adverse reactions,vLess-DILI-concern
Etanercept,3,Warnings & precautions,vLess-DILI-concern
Etelcalcetide,0,No match,vNo-DILI-concern
Eteplirsen,0,No match,vNo-DILI-concern
Ethacrynic acid,5,Adverse reactions,Ambiguous-DILI-concern
Ethambutol hydrochloride,8,Warnings & precautions,vMost-DILI-concern
Ethanolamine oleate,0,No match,vNo-DILI-concern
Ethionamide,3,Warnings & precautions,vLess-DILI-concern
Ethosuximide,3,Warnings & precautions,Ambiguous-DILI-concern
Ethotoin,3,Warnings & precautions,Ambiguous-DILI-concern
Etidronate disodium,0,No match,vNo-DILI-concern
Etodolac,8,Warnings & precautions,vMost-DILI-concern
Etomidate,0,No match,vNo-DILI-concern
Etonogestrel,5,Warnings & precautions,Ambiguous-DILI-concern
