molecule_chembl_id,target_chembl_id,target_pref_name,target_organism,action_type,mechanism_of_action,query_name
CHEMBL1200531,CHEMBL233,,,AGONIST,Mu opioid receptor agonist,Alfentanil hydrochloride
CHEMBL1723,CHEMBL2094251,,,AGONIST,Adrenergic receptor alpha-1 agonist,Alfuzosin hydrochloride
CHEMBL1467,CHEMBL1929,,,INHIBITOR,Xanthine dehydrogenase inhibitor,Allopurinol
CHEMBL1200521,CHEMBL1805,,,AGONIST,Serotonin 1f (5-HT1f) receptor agonist,Almotriptan malate
CHEMBL1200521,CHEMBL1898,,,AGONIST,Serotonin 1b (5-HT1b) receptor agonist,Almotriptan malate
CHEMBL1200521,CHEMBL1983,,,AGONIST,Serotonin 1d (5-HT1d) receptor agonist,Almotriptan malate
CHEMBL227529,CHEMBL284,,,INHIBITOR,Dipeptidyl peptidase IV inhibitor,Alogliptin benzoate
CHEMBL1200885,CHEMBL1899,,,ANTAGONIST,Serotonin 3a (5-HT3a) receptor antagonist,Alosetron hydrochloride
CHEMBL2396661,CHEMBL4005,,,INHIBITOR,PI3-kinase p110-alpha subunit inhibitor,Alpelisib
CHEMBL54349,CHEMBL5742,,,PARTIAL AGONIST,Translocator protein partial agonist,Alpidem
CHEMBL661,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Alprazolam
CHEMBL1455,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Altretamine
CHEMBL270190,CHEMBL233,,,ANTAGONIST,Mu opioid receptor antagonist,Alvimopan
CHEMBL1569,CHEMBL2094124,,,ANTAGONIST,Glutamate [NMDA] receptor antagonist,Amantadine hydrochloride
CHEMBL1569,CHEMBL1932894,,,INHIBITOR,Matrix protein 2 inhibitor,Amantadine hydrochloride
CHEMBL1200541,CHEMBL220,,,INHIBITOR,Acetylcholinesterase inhibitor,Ambenonium chloride
CHEMBL1111,CHEMBL2096678,,,ANTAGONIST,"Endothelin receptor, ET-A/ET-B antagonist",Ambrisentan
CHEMBL354077,CHEMBL2362996,,,BLOCKER,Voltage-gated potassium channel blocker,Amifampridine
CHEMBL3301611,CHEMBL2362996,,,BLOCKER,Voltage-gated potassium channel blocker,Amifampridine phosphate
CHEMBL1006,,,,,Reactive metabolite scavenging agent,Amifostine
CHEMBL4208954,CHEMBL2363135,,,INHIBITOR,Bacterial 70S ribosome inhibitor,Amikacin sulfate
CHEMBL1398126,CHEMBL2107836,,,BLOCKER,"Amiloride-sensitive sodium channel, ENaC blocker",Amiloride hydrochloride
CHEMBL418995,CHEMBL2111341,,,ANTAGONIST,Dopamine D1 and D2 receptor antagonist,Amineptine
CHEMBL1046,CHEMBL1801,,,INHIBITOR,Plasminogen inhibitor,Aminocaproic acid
CHEMBL1046,CHEMBL1873,,,INHIBITOR,Tissue-type plasminogen activator inhibitor,Aminocaproic acid
CHEMBL1169,CHEMBL6065,,,INHIBITOR,Dihydrofolate reductase inhibitor,Aminosalicylic acid
CHEMBL1083993,CHEMBL240,,,BLOCKER,HERG blocker,Amiodarone hydrochloride
CHEMBL243712,CHEMBL2096904,,,ANTAGONIST,Serotonin (5-HT) receptor antagonist,Amisulpride
CHEMBL243712,CHEMBL2095169,,,ANTAGONIST,Dopamine receptors; D2 & D3 antagonist,Amisulpride
CHEMBL1200964,CHEMBL228,,,INHIBITOR,Serotonin transporter inhibitor,Amitriptyline hydrochloride
CHEMBL1200964,CHEMBL222,,,INHIBITOR,Norepinephrine transporter inhibitor,Amitriptyline hydrochloride
CHEMBL1200402,CHEMBL2095229,,,BLOCKER,Voltage-gated L-type calcium channel blocker,Amlodipine besylate
CHEMBL1113,CHEMBL228,,,INHIBITOR,Serotonin transporter inhibitor,Amoxapine
CHEMBL1113,CHEMBL222,,,INHIBITOR,Norepinephrine transporter inhibitor,Amoxapine
CHEMBL1113,CHEMBL2096905,,,ANTAGONIST,Dopamine receptor antagonist,Amoxapine
CHEMBL1082,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Amoxicillin
CHEMBL501,CHEMBL238,,,RELEASING AGENT,Dopamine transporter releasing agent,Amphetamine sulfate
CHEMBL501,CHEMBL222,,,RELEASING AGENT,Norepinephrine transporter releasing agent,Amphetamine sulfate
CHEMBL267345,CHEMBL2364028,,,SEQUESTERING AGENT,Ergosterol sequestering agent,Amphotericin B
CHEMBL1200758,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Ampicillin sodium
CHEMBL116,CHEMBL243,,,INHIBITOR,Human immunodeficiency virus type 1 protease inhibitor,Amprenavir
CHEMBL1200759,CHEMBL2094125,,,INHIBITOR,Phosphodiesterase 3 inhibitor,Anagrelide hydrochloride
CHEMBL1399,CHEMBL1978,,,INHIBITOR,Cytochrome P450 19A1 inhibitor,Anastrozole
CHEMBL264241,CHEMBL2364673,,,INHIBITOR,"1,3-beta-glucan synthase inhibitor",Anidulafungin
CHEMBL3183409,CHEMBL1871,,,ANTAGONIST,Androgen Receptor antagonist,Apalutamide
CHEMBL231779,CHEMBL244,,,INHIBITOR,Coagulation factor X inhibitor,Apixaban
CHEMBL3187985,CHEMBL2331075,,,AGONIST,D2-like dopamine receptor agonist,Apomorphine hydrochloride
CHEMBL514800,CHEMBL2093863,,,INHIBITOR,Phosphodiesterase 4 inhibitor,Apremilast
CHEMBL1471,CHEMBL249,,,ANTAGONIST,Neurokinin 1 receptor antagonist,Aprepitant
CHEMBL1166,CHEMBL204,,,INHIBITOR,Thrombin inhibitor,Argatroban
CHEMBL1112,CHEMBL217,,,PARTIAL AGONIST,Dopamine D2 receptor partial agonist,Aripiprazole
CHEMBL1112,CHEMBL214,,,PARTIAL AGONIST,Serotonin 1a (5-HT1a) receptor partial agonist,Aripiprazole
CHEMBL1112,CHEMBL224,,,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,Aripiprazole
CHEMBL2219425,CHEMBL217,,,PARTIAL AGONIST,Dopamine D2 receptor partial agonist,Aripiprazole lauroxil
CHEMBL2219425,CHEMBL224,,,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,Aripiprazole lauroxil
CHEMBL2219425,CHEMBL214,,,PARTIAL AGONIST,Serotonin 1a (5-HT1a) receptor partial agonist,Aripiprazole lauroxil
CHEMBL1201192,CHEMBL238,,,INHIBITOR,Dopamine transporter inhibitor,Armodafinil
CHEMBL5483015,CHEMBL1927,,,INHIBITOR,Thioredoxin reductase 1 inhibitor,Arsenic trioxide
CHEMBL361497,,,,,Unknown,Artesunate
CHEMBL4297220,CHEMBL2096618,,,INHIBITOR,Bcr/Abl fusion protein inhibitor,Asciminib hydrochloride
CHEMBL25,CHEMBL2094253,,,INHIBITOR,Cyclooxygenase inhibitor,Aspirin
CHEMBL1200678,CHEMBL243,,,INHIBITOR,Human immunodeficiency virus type 1 protease inhibitor,Atazanavir sulfate
CHEMBL24,CHEMBL213,,,ANTAGONIST,Beta-1 adrenergic receptor antagonist,Atenolol
CHEMBL3991065,CHEMBL3798,,,ANTAGONIST,Calcitonin gene-related peptide type 1 receptor antagonist,Atogepant
CHEMBL1702,CHEMBL222,,,INHIBITOR,Norepinephrine transporter inhibitor,Atomoxetine hydrochloride
CHEMBL393220,CHEMBL402,,,INHIBITOR,HMG-CoA reductase inhibitor,Atorvastatin calcium
CHEMBL1450,CHEMBL1777,,,INHIBITOR,Cytochrome b inhibitor,Atovaquone
CHEMBL517712,CHEMBL245,,,ANTAGONIST,Muscarinic acetylcholine receptor M3 antagonist,Atropine
CHEMBL517712,CHEMBL216,,,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,Atropine
CHEMBL517712,CHEMBL211,,,ANTAGONIST,Muscarinic acetylcholine receptor M2 antagonist,Atropine
CHEMBL3989871,CHEMBL2373,,,ANTAGONIST,C5a anaphylatoxin chemotactic receptor antagonist,Avacopan
CHEMBL1963681,CHEMBL1827,,,INHIBITOR,Phosphodiesterase 5A inhibitor,Avanafil
CHEMBL4204794,CHEMBL1936,,,INHIBITOR,Stem cell growth factor receptor inhibitor,Avapritinib
CHEMBL4204794,CHEMBL2007,,,INHIBITOR,Platelet-derived growth factor receptor alpha inhibitor,Avapritinib
CHEMBL2105758,CHEMBL1864,,,AGONIST,Thrombopoietin receptor agonist,Avatrombopag maleate
CHEMBL1289926,CHEMBL2095227,,,INHIBITOR,Vascular endothelial growth factor receptor inhibitor,Axitinib
CHEMBL1489,CHEMBL1992,,,INHIBITOR,DNA (cytosine-5)-methyltransferase 3A inhibitor,Azacitidine
CHEMBL1489,CHEMBL1993,,,INHIBITOR,DNA (cytosine-5)-methyltransferase 1 inhibitor,Azacitidine
CHEMBL1489,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Azacitidine
CHEMBL1489,CHEMBL2311222,,,INHIBITOR,RNA inhibitor,Azacitidine
CHEMBL1542,CHEMBL2362992,,,INHIBITOR,Amidophosphoribosyltransferase inhibitor,Azathioprine
CHEMBL1542,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Azathioprine
CHEMBL2103795,CHEMBL227,,,ANTAGONIST,Type-1 angiotensin II receptor antagonist,Azilsartan kamedoxomil
CHEMBL529,CHEMBL2363135,,,INHIBITOR,Bacterial 70S ribosome inhibitor,Azithromycin
CHEMBL158,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Aztreonam
CHEMBL701,CHEMBL2111463,,,AGONIST,GABA-B receptor agonist,Baclofen
CHEMBL4297503,CHEMBL1169598,,,INHIBITOR,Polymerase acidic protein inhibitor,Baloxavir marboxil
CHEMBL4297503,CHEMBL2028641,,,INHIBITOR,Polymerase acidic protein inhibitor,Baloxavir marboxil
CHEMBL1200760,CHEMBL215,,,INHIBITOR,Arachidonate 5-lipoxygenase inhibitor,Balsalazide disodium
CHEMBL1200760,CHEMBL235,,,AGONIST,Peroxisome proliferator-activated receptor gamma agonist,Balsalazide disodium
CHEMBL1200760,CHEMBL2094253,,,INHIBITOR,Cyclooxygenase inhibitor,Balsalazide disodium
CHEMBL2105759,CHEMBL2835,,,INHIBITOR,Tyrosine-protein kinase JAK1 inhibitor,Baricitinib
CHEMBL2105759,CHEMBL2971,,,INHIBITOR,Tyrosine-protein kinase JAK2 inhibitor,Baricitinib
CHEMBL2105700,CHEMBL2364166,,,INHIBITOR,ATP synthase inhibitor,Bedaquiline fumarate
CHEMBL408513,CHEMBL2093865,,,INHIBITOR,Histone deacetylase inhibitor,Belinostat
CHEMBL4802130,CHEMBL2111459,,,INHIBITOR,Rho-associated protein kinase inhibitor,Belumosudil mesylate
CHEMBL4585668,CHEMBL1744522,,,INHIBITOR,Endothelial PAS domain-containing protein 1 inhibitor,Belzutifan
CHEMBL3545313,CHEMBL3720,,,INHIBITOR,ATP-citrate synthase inhibitor,Bempedoic acid
CHEMBL1694,CHEMBL1808,,,INHIBITOR,Angiotensin-converting enzyme inhibitor,Benazepril hydrochloride
CHEMBL1201734,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Bendamustine hydrochloride
CHEMBL1089221,CHEMBL1929,,,INHIBITOR,Xanthine dehydrogenase inhibitor,Bendazac
CHEMBL1684,CHEMBL1876,,,INHIBITOR,Thiazide-sensitive sodium-chloride cotransporter inhibitor,Bendroflumethiazide
CHEMBL340978,CHEMBL3687,,,INHIBITOR,Arachidonate 12-lipoxygenase inhibitor,Benoxaprofen
CHEMBL1474963,,,,,Unknown,Benzarone
CHEMBL388590,CHEMBL6120,,,INHIBITOR,Solute carrier family 22 member 12 inhibitor,Benzbromarone
CHEMBL232201,CHEMBL6093,,,INHIBITOR,Calmodulin inhibitor,Benziodarone
CHEMBL110,,,,,Unknown,Benznidazole
CHEMBL1374379,CHEMBL2364682,,,INHIBITOR,Slowly adapting pulmonary stretch receptor inhibitor,Benzonatate
CHEMBL3544906,CHEMBL222,,,RELEASING AGENT,Norepinephrine transporter releasing agent,Benzphetamine hydrochloride
CHEMBL3544906,CHEMBL1893,,,INHIBITOR,Synaptic vesicular amine transporter inhibitor,Benzphetamine hydrochloride
CHEMBL1200383,CHEMBL216,,,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,Benztropine mesylate
CHEMBL6067995,CHEMBL2000,,,INHIBITOR,Plasma kallikrein inhibitor,Berotralstat hydrochloride
CHEMBL95889,CHEMBL3391661,,,SUBSTRATE,Betaine-homocysteine S-methyltransferase substrate,Betaine
CHEMBL1691,CHEMBL213,,,ANTAGONIST,Beta-1 adrenergic receptor antagonist,Betaxolol hydrochloride
CHEMBL1768,CHEMBL245,,,AGONIST,Muscarinic acetylcholine receptor M3 agonist,Bethanechol chloride
CHEMBL1768,CHEMBL211,,,AGONIST,Muscarinic acetylcholine receptor M2 agonist,Bethanechol chloride
CHEMBL512351,CHEMBL244,,,INHIBITOR,Coagulation factor X inhibitor,Betrixaban
CHEMBL1023,CHEMBL2363070,,,AGONIST,Retinoid X receptor agonist,Bexarotene
CHEMBL409,CHEMBL1871,,,ANTAGONIST,Androgen Receptor antagonist,Bicalutamide
CHEMBL3187723,CHEMBL3587,,,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Binimetinib
CHEMBL3187723,CHEMBL2964,,,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Binimetinib
CHEMBL1201035,CHEMBL216,,,ANTAGONIST,Muscarinic acetylcholine receptor M1 antagonist,Biperiden hydrochloride
CHEMBL942,,,,,Unknown,Bisacodyl
CHEMBL1472989,CHEMBL213,,,ANTAGONIST,Beta-1 adrenergic receptor antagonist,Bisoprolol fumarate
CHEMBL957,CHEMBL2096678,,,ANTAGONIST,"Endothelin receptor, ET-A/ET-B antagonist",Bosentan
CHEMBL2095206,CHEMBL2096618,,,INHIBITOR,Bcr/Abl fusion protein inhibitor,Bosutinib monohydrate
CHEMBL207538,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Brexanolone
CHEMBL2105760,CHEMBL217,,,PARTIAL AGONIST,Dopamine D2 receptor partial agonist,Brexpiprazole
CHEMBL2105760,CHEMBL214,,,PARTIAL AGONIST,Serotonin 1a (5-HT1a) receptor partial agonist,Brexpiprazole
CHEMBL2105760,CHEMBL224,,,ANTAGONIST,Serotonin 2a (5-HT2a) receptor antagonist,Brexpiprazole
CHEMBL3545311,CHEMBL4247,,,INHIBITOR,ALK tyrosine kinase receptor inhibitor,Brigatinib
CHEMBL3545311,CHEMBL203,,,INHIBITOR,Epidermal growth factor receptor erbB1 inhibitor,Brigatinib
CHEMBL4173394,,,,,Membrane staining aid in ophthalmic surgery,Brilliant blue g
CHEMBL607400,CHEMBL1998,,,MODULATOR,Synaptic vesicle glycoprotein 2A modulator,Brivaracetam
CHEMBL3181947,CHEMBL2094253,,,INHIBITOR,Cyclooxygenase inhibitor,Bromfenac sodium
CHEMBL1200503,CHEMBL2331075,,,AGONIST,D2-like dopamine receptor agonist,Bromocriptine mesylate
CHEMBL1200961,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Brompheniramine maleate
CHEMBL1370,CHEMBL2034,,,AGONIST,Glucocorticoid receptor agonist,Budesonide
CHEMBL1072,CHEMBL1874,,,INHIBITOR,Sodium-(potassium)-chloride cotransporter 2 inhibitor,Bumetanide
CHEMBL1698,CHEMBL238,,,INHIBITOR,Dopamine transporter inhibitor,Bupropion hydrochloride
CHEMBL1698,CHEMBL222,,,INHIBITOR,Norepinephrine transporter inhibitor,Bupropion hydrochloride
CHEMBL1200399,CHEMBL214,,,PARTIAL AGONIST,Serotonin 1a (5-HT1a) receptor partial agonist,Buspirone hydrochloride
CHEMBL820,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Busulfan
CHEMBL1200982,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Butabarbital sodium
CHEMBL299400,CHEMBL233,,,PARTIAL AGONIST,Mu opioid receptor partial agonist,Butorphanol tartrate
CHEMBL299400,CHEMBL237,,,PARTIAL AGONIST,Kappa opioid receptor partial agonist,Butorphanol tartrate
CHEMBL1201748,CHEMBL2095182,,,INHIBITOR,Tubulin inhibitor,Cabazitaxel
CHEMBL1201087,CHEMBL217,,,AGONIST,Dopamine D2 receptor agonist,Cabergoline
CHEMBL3137330,CHEMBL3471,,,INHIBITOR,Human immunodeficiency virus type 1 integrase inhibitor,Cabotegravir sodium
CHEMBL2103868,CHEMBL279,,,INHIBITOR,Vascular endothelial growth factor receptor 2 inhibitor,Cabozantinib s-malate
CHEMBL2103868,CHEMBL3717,,,INHIBITOR,Hepatocyte growth factor receptor inhibitor,Cabozantinib s-malate
CHEMBL1200569,CHEMBL2111329,,,ANTAGONIST,Adenosine receptor antagonist,Caffeine citrate
CHEMBL846,CHEMBL1977,,,AGONIST,Vitamin D receptor agonist,Calcitriol
CHEMBL1200800,CHEMBL2364184,,,SEQUESTERING AGENT,Phosphate sequestering agent,Calcium acetate
CHEMBL4594217,CHEMBL3884,,,INHIBITOR,Sodium/glucose cotransporter 2 inhibitor,Canagliflozin
CHEMBL1014,CHEMBL227,,,ANTAGONIST,Type-1 angiotensin II receptor antagonist,Candesartan cilexetil
CHEMBL334966,CHEMBL2001,,,INHIBITOR,Purinergic receptor P2Y12 inhibitor,Cangrelor
CHEMBL190461,CHEMBL218,,,NEGATIVE ALLOSTERIC MODULATOR,Cannabinoid CB1 receptor negative allosteric modulator,Cannabidiol
CHEMBL1773,CHEMBL1952,,,INHIBITOR,Thymidylate synthase inhibitor,Capecitabine
CHEMBL1773,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Capecitabine
CHEMBL1773,CHEMBL2311222,,,INHIBITOR,RNA inhibitor,Capecitabine
CHEMBL3989937,CHEMBL3717,,,INHIBITOR,Hepatocyte growth factor receptor inhibitor,Capmatinib hydrochloride
CHEMBL1560,CHEMBL1808,,,INHIBITOR,Angiotensin-converting enzyme inhibitor,Captopril
CHEMBL108,CHEMBL2331043,,,BLOCKER,Sodium channel alpha subunit blocker,Carbamazepine
CHEMBL606260,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Carbenicillin disodium
CHEMBL1200748,CHEMBL1843,,,INHIBITOR,DOPA decarboxylase inhibitor,Carbidopa
CHEMBL1200974,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Carbinoxamine maleate
CHEMBL1237105,CHEMBL1987,,,AGONIST,Prostanoid FP receptor agonist,Carboprost tromethamine
CHEMBL1201780,CHEMBL2362990,,,POSITIVE ALLOSTERIC MODULATOR,"Carbamoyl-phosphate synthase [ammonia], mitochondrial positive allosteric modulator",Carglumic acid
CHEMBL2024517,CHEMBL234,,,MODULATOR,Dopamine D3 receptor modulator,Cariprazine hydrochloride
CHEMBL2024517,CHEMBL217,,,MODULATOR,Dopamine D2 receptor modulator,Cariprazine hydrochloride
CHEMBL1233,,,,,Unknown,Carisoprodol
CHEMBL723,CHEMBL2094118,,,ANTAGONIST,Adrenergic receptor beta antagonist,Carvedilol
CHEMBL723,CHEMBL2094251,,,ANTAGONIST,Adrenergic receptor alpha-1 antagonist,Carvedilol
CHEMBL5314378,CHEMBL2364673,,,INHIBITOR,"1,3-beta-glucan synthase inhibitor",Caspofungin acetate
CHEMBL5314378,CHEMBL2364674,,,INHIBITOR,"1,3-beta-glucan synthase inhibitor",Caspofungin acetate
CHEMBL1201018,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefaclor
CHEMBL1644,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefadroxil hemihydrate
CHEMBL1200523,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefazolin sodium
CHEMBL927,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefdinir
CHEMBL454446,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefditoren pivoxil
CHEMBL1200962,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefepime hydrochloride
CHEMBL4297211,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefiderocol sulfate tosylate
CHEMBL1541,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefixime
CHEMBL1200482,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefoperazone sodium
CHEMBL1010,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefotaxime sodium
CHEMBL1201098,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefotetan disodium
CHEMBL1200530,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefoxitin sodium
CHEMBL1201016,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefpodoxime proxetil
CHEMBL501122,CHEMBL3512,,,INHIBITOR,Penicillin-binding protein 2a inhibitor,Ceftaroline fosamil
CHEMBL501122,CHEMBL6188,,,INHIBITOR,Penicillin-binding protein 2x inhibitor,Ceftaroline fosamil
CHEMBL501122,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Ceftaroline fosamil
CHEMBL44354,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Ceftazidime
CHEMBL1200985,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Ceftibuten dihydrate
CHEMBL1201019,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Ceftizoxime sodium
CHEMBL6067656,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Ceftriaxone sodium
CHEMBL2146124,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cefuroxime sodium
CHEMBL118,CHEMBL230,,,INHIBITOR,Cyclooxygenase-2 inhibitor,Celecoxib
CHEMBL3989949,CHEMBL2093872,,,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,Cenobamate
CHEMBL3989949,CHEMBL2331043,,,INHIBITOR,Sodium channel alpha subunit inhibitor,Cenobamate
CHEMBL1200544,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cephalexin
CHEMBL1604,CHEMBL2354204,,,INHIBITOR,Bacterial penicillin-binding protein inhibitor,Cephradine
CHEMBL2403108,CHEMBL4247,,,INHIBITOR,ALK tyrosine kinase receptor inhibitor,Ceritinib
CHEMBL2403108,CHEMBL3883330,,,INHIBITOR,EML4-ALK inhibitor,Ceritinib
CHEMBL2403108,CHEMBL2111387,,,INHIBITOR,NPM/ALK (Nucleophosmin/ALK tyrosine kinase receptor) inhibitor,Ceritinib
CHEMBL1607273,CHEMBL231,,,ANTAGONIST,Histamine H1 receptor antagonist,Cetirizine hydrochloride
CHEMBL2218917,CHEMBL245,,,AGONIST,Muscarinic acetylcholine receptor M3 agonist,Cevimeline hydrochloride
CHEMBL2218917,CHEMBL216,,,AGONIST,Muscarinic acetylcholine receptor M1 agonist,Cevimeline hydrochloride
CHEMBL240597,CHEMBL2047,,,AGONIST,Bile acid receptor FXR agonist,Chenodiol
CHEMBL515,CHEMBL2311221,,,INHIBITOR,DNA inhibitor,Chlorambucil
CHEMBL130,CHEMBL2363135,,,INHIBITOR,Bacterial 70S ribosome inhibitor,Chloramphenicol
